"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"73","RULE_BR","=~","RULE_BR4","",0.621,0.015,40.883,0,0.591,0.651
"74","RULE_BR","=~","RULE_BR5","",0.767,0.008,98.787,0,0.752,0.783
"75","RULE_BR","=~","RULE_BR6","",0.537,0.013,40.803,0,0.511,0.563
"76","RULE_BR","=~","RULE_BR7","",0.794,0.036,22.143,0,0.724,0.864
"77","RULE_BR","=~","RULE_BR8","",0.582,0.038,15.259,0,0.507,0.656
"78","RULE_BR","=~","RULE_BR9","",0.689,0.055,12.454,0,0.581,0.798
"79","RULE_BR","=~","RULE_BR10","",0.771,0.014,54.833,0,0.744,0.799
"80","RULE_BR","=~","RULE_BR11","",0.771,0.019,41.441,0,0.735,0.808
"81","RULE_BR","=~","RULE_BR12","",0.701,0.015,47.657,0,0.672,0.73
"82","RULE_BR","=~","RULE_BR13","",0.674,0.032,20.879,0,0.611,0.737
"83","RULE_BR","=~","RULE_BR14","",0.183,0.03,6.142,0,0.125,0.242
"84","RULE_BR","=~","RULE_BR15","",0.575,0.167,3.446,0.001,0.248,0.902
"85","RULE_BR","=~","RULE_BR16","",0.658,0.05,13.065,0,0.559,0.757
"86","RULE_BR","=~","RULE_BR17","",0.165,0.009,18.719,0,0.148,0.183
"87","RULE_BR","=~","RULE_BR18","",0.824,0.025,33.418,0,0.776,0.873
"88","AGGRESS","=~","AGGRESS1","",0.766,0.006,124.136,0,0.753,0.778
"89","AGGRESS","=~","AGGRESS2","",0.728,0.012,63.019,0,0.706,0.751
"90","AGGRESS","=~","AGGRESS3","",0.754,0.008,95.625,0,0.738,0.769
"91","AGGRESS","=~","AGGRESS4","",0.814,0.009,89.532,0,0.796,0.832
"92","AGGRESS","=~","AGGRESS5","",0.822,0.008,101.055,0,0.806,0.838
"93","AGGRESS","=~","AGGRESS6","",0.811,0.006,145.107,0,0.8,0.822
"94","AGGRESS","=~","AGGRESS7","",0.745,0.009,83.574,0,0.728,0.762
"95","AGGRESS","=~","AGGRESS8","",0.741,0.014,51.341,0,0.713,0.77
"96","AGGRESS","=~","AGGRESS9","",0.741,0.013,58.676,0,0.717,0.766
"97","AGGRESS","=~","AGGRESS10","",0.755,0.009,83.03,0,0.737,0.773
"98","AGGRESS","=~","AGGRESS11","",0.774,0.007,118.33,0,0.761,0.787
"99","AGGRESS","=~","AGGRESS12","",0.81,0.007,115.537,0,0.796,0.824
"100","AGGRESS","=~","AGGRESS13","",0.741,0.01,76.817,0,0.722,0.759
"101","AGGRESS","=~","AGGRESS14","",0.758,0.015,51.378,0,0.729,0.787
"102","AGGRESS","=~","AGGRESS15","",0.675,0.012,57.478,0,0.652,0.698
"103","AGGRESS","=~","AGGRESS16","",0.781,0.006,121.233,0,0.768,0.794
"104","AGGRESS","=~","AGGRESS17","",0.819,0.013,61.099,0,0.792,0.845
"105","AGGRESS","=~","AGGRESS18","",0.721,0.01,70.63,0,0.701,0.741
"106","P","=~","ANXDEP","",0.775,0.007,113.365,0,0.762,0.789
"107","P","=~","WITHDEP","",0.793,0.008,98.43,0,0.777,0.809
"108","P","=~","SOCIAL","",0.954,0.004,234.339,0,0.946,0.962
"109","P","=~","SOMATIC","",0.604,0.011,56.015,0,0.583,0.625
"110","P","=~","THOUGHT","",0.931,0.005,198.493,0,0.922,0.94
"111","P","=~","ATTENTION","",0.838,0.005,169.204,0,0.828,0.848
"112","P","=~","RULE_BR","",0.788,0.007,106.032,0,0.773,0.802
"113","P","=~","AGGRESS","",0.869,0.005,187.933,0,0.86,0.878
"114","Externalising","=~","RULE_BR","v2",0.731,0.124,5.906,0,0.488,0.974
"115","Externalising","=~","AGGRESS","v2",0.305,0.051,5.926,0,0.204,0.406
"116","Internalising","=~","ANXDEP","",0.505,0.023,22.344,0,0.46,0.549
"117","Internalising","=~","WITHDEP","",0.356,0.019,18.394,0,0.318,0.394
"118","Internalising","=~","SOMATIC","",0.355,0.019,18.452,0,0.317,0.392
"119","P","~~","Internalising","",0,0,NA,NA,0,0
"120","P","~~","Externalising","",0,0,NA,NA,0,0
"121","Externalising","~~","Internalising","",0,0,NA,NA,0,0
"122","Externalising","~~","Externalising","",1,0,NA,NA,1,1
"123","ANXDEP1","|","t1","",1.169,0.015,78.581,0,1.14,1.198
"124","ANXDEP1","|","t2","",2.174,0.03,73.478,0,2.116,2.232
"125","ANXDEP2","|","t1","",0.804,0.013,61.975,0,0.778,0.829
"126","ANXDEP2","|","t2","",2.077,0.027,76.638,0,2.024,2.13
"127","ANXDEP3","|","t1","",1.711,0.02,84.268,0,1.672,1.751
"128","ANXDEP3","|","t2","",2.677,0.05,53.107,0,2.579,2.776
"129","ANXDEP4","|","t1","",1.373,0.016,83.393,0,1.341,1.406
"130","ANXDEP4","|","t2","",2.498,0.041,60.816,0,2.418,2.579
"131","ANXDEP5","|","t1","",0.602,0.012,48.937,0,0.578,0.626
"132","ANXDEP5","|","t2","",1.752,0.021,83.818,0,1.711,1.793
"133","ANXDEP6","|","t1","",1.123,0.015,77.027,0,1.094,1.151
"134","ANXDEP6","|","t2","",2.28,0.033,69.638,0,2.216,2.344
"135","ANXDEP7","|","t1","",1.154,0.015,78.086,0,1.125,1.183
"136","ANXDEP7","|","t2","",2.351,0.035,66.88,0,2.282,2.42
"137","ANXDEP8","|","t1","",0.839,0.013,63.993,0,0.813,0.865
"138","ANXDEP8","|","t2","",1.977,0.025,79.47,0,1.928,2.026
"139","ANXDEP9","|","t1","",0.789,0.013,61.121,0,0.764,0.814
"140","ANXDEP9","|","t2","",1.954,0.024,80.056,0,1.906,2.001
"141","ANXDEP10","|","t1","",1.511,0.018,84.788,0,1.476,1.546
"142","ANXDEP10","|","t2","",2.533,0.043,59.326,0,2.45,2.617
"143","ANXDEP11","|","t1","",0.174,0.012,15.069,0,0.152,0.197
"144","ANXDEP11","|","t2","",1.53,0.018,84.864,0,1.495,1.566
"145","ANXDEP12","|","t1","",2.016,0.026,78.436,0,1.965,2.066
"146","ANXDEP12","|","t2","",3.244,0.108,30.131,0,3.033,3.455
"147","ANXDEP13","|","t1","",0.438,0.012,36.746,0,0.415,0.461
"148","ANXDEP13","|","t2","",1.721,0.02,84.166,0,1.681,1.762
"149","WITHDEP1","|","t1","",1.385,0.017,83.574,0,1.353,1.418
"150","WITHDEP1","|","t2","",2.372,0.036,66.056,0,2.301,2.442
"151","WITHDEP2","|","t1","",0.974,0.014,70.922,0,0.947,1.001
"152","WITHDEP2","|","t2","",2.127,0.028,75.055,0,2.072,2.183
"153","WITHDEP3","|","t1","",1.326,0.016,82.563,0,1.294,1.357
"154","WITHDEP3","|","t2","",2.523,0.042,59.767,0,2.44,2.606
"155","WITHDEP4","|","t1","",1.074,0.014,75.233,0,1.046,1.102
"156","WITHDEP4","|","t2","",2.229,0.031,71.533,0,2.168,2.29
"157","WITHDEP5","|","t1","",0.784,0.013,60.795,0,0.758,0.809
"158","WITHDEP5","|","t2","",2.009,0.026,78.612,0,1.959,2.059
"159","WITHDEP6","|","t1","",1.493,0.018,84.687,0,1.459,1.528
