"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"341","ANXDEP10","~~","ANXDEP10","",0.522,0.021,25.187,0,0.481,0.563
"342","ANXDEP11","~~","ANXDEP11","",0.522,0.012,42.11,0,0.498,0.547
"343","ANXDEP12","~~","ANXDEP12","",0.445,0.032,13.963,0,0.383,0.508
"344","ANXDEP13","~~","ANXDEP13","",0.489,0.012,41.134,0,0.465,0.512
"345","WITHDEP1","~~","WITHDEP1","",0.416,0.021,20.098,0,0.376,0.457
"346","WITHDEP2","~~","WITHDEP2","",0.612,0.015,40.786,0,0.583,0.642
"347","WITHDEP3","~~","WITHDEP3","",0.507,0.019,26.22,0,0.469,0.545
"348","WITHDEP4","~~","WITHDEP4","",0.482,0.017,28.165,0,0.449,0.516
"349","WITHDEP5","~~","WITHDEP5","",0.731,0.013,55.392,0,0.705,0.756
"350","WITHDEP6","~~","WITHDEP6","",0.519,0.022,24.056,0,0.477,0.561
"351","WITHDEP7","~~","WITHDEP7","",0.271,0.018,14.946,0,0.236,0.307
"352","WITHDEP8","~~","WITHDEP8","",0.396,0.02,19.418,0,0.356,0.436
"353","SOMATIC1","~~","SOMATIC1","",0.456,0.024,19.184,0,0.409,0.502
"354","SOMATIC2","~~","SOMATIC2","",0.703,0.021,34.003,0,0.663,0.744
"355","SOMATIC3","~~","SOMATIC3","",0.487,0.032,15.096,0,0.424,0.55
"356","SOMATIC4","~~","SOMATIC4","",0.284,0.036,7.99,0,0.214,0.354
"357","SOMATIC5","~~","SOMATIC5","",0.667,0.019,35.045,0,0.63,0.705
"358","SOMATIC6","~~","SOMATIC6","",0.685,0.016,43.413,0,0.654,0.716
"359","SOMATIC7","~~","SOMATIC7","",0.451,0.02,22.66,0,0.412,0.49
"360","SOMATIC8","~~","SOMATIC8","",0.755,0.028,27.046,0,0.701,0.81
"361","SOMATIC9","~~","SOMATIC9","",0.8,0.017,47.715,0,0.767,0.833
"362","SOMATIC10","~~","SOMATIC10","",0.559,0.016,35.224,0,0.528,0.59
"363","SOMATIC11","~~","SOMATIC11","",0.718,0.026,27.267,0,0.666,0.769
"364","SOCIAL1","~~","SOCIAL1","",0.596,0.014,42.11,0,0.568,0.623
"365","SOCIAL2","~~","SOCIAL2","",0.505,0.015,32.613,0,0.475,0.536
"366","SOCIAL3","~~","SOCIAL3","",0.37,0.015,25.083,0,0.341,0.399
"367","SOCIAL4","~~","SOCIAL4","",0.494,0.013,37.915,0,0.468,0.519
"368","SOCIAL5","~~","SOCIAL5","",0.433,0.02,21.251,0,0.394,0.473
"369","SOCIAL6","~~","SOCIAL6","",0.722,0.014,51.931,0,0.695,0.75
"370","SOCIAL7","~~","SOCIAL7","",0.513,0.014,36.002,0,0.485,0.541
"371","SOCIAL8","~~","SOCIAL8","",0.39,0.015,25.242,0,0.36,0.42
"372","SOCIAL9","~~","SOCIAL9","",0.572,0.016,35.888,0,0.541,0.603
"373","SOCIAL10","~~","SOCIAL10","",0.689,0.014,50.809,0,0.663,0.716
"374","SOCIAL11","~~","SOCIAL11","",0.876,0.012,74.618,0,0.853,0.899
"375","THOUGHT1","~~","THOUGHT1","",0.412,0.012,33.022,0,0.388,0.437
"376","THOUGHT2","~~","THOUGHT2","",0.532,0.045,11.876,0,0.444,0.62
"377","THOUGHT3","~~","THOUGHT3","",0.597,0.037,16.211,0,0.525,0.67
"378","THOUGHT4","~~","THOUGHT4","",0.592,0.017,33.835,0,0.558,0.626
"379","THOUGHT5","~~","THOUGHT5","",0.733,0.012,59.072,0,0.708,0.757
"380","THOUGHT6","~~","THOUGHT6","",0.775,0.034,22.722,0,0.708,0.842
"381","THOUGHT7","~~","THOUGHT7","",0.781,0.028,28.217,0,0.727,0.835
"382","THOUGHT8","~~","THOUGHT8","",0.444,0.019,22.989,0,0.406,0.482
"383","THOUGHT9","~~","THOUGHT9","",0.575,0.041,14,0,0.495,0.656
"384","THOUGHT10","~~","THOUGHT10","",0.661,0.017,39.403,0,0.628,0.694
"385","THOUGHT11","~~","THOUGHT11","",0.677,0.014,48.075,0,0.65,0.705
"386","THOUGHT12","~~","THOUGHT12","",0.313,0.022,14.227,0,0.27,0.356
"387","THOUGHT13","~~","THOUGHT13","",0.487,0.02,24.965,0,0.449,0.526
"388","THOUGHT14","~~","THOUGHT14","",0.897,0.01,94.351,0,0.878,0.916
"389","THOUGHT15","~~","THOUGHT15","",0.603,0.015,39.292,0,0.573,0.634
"390","ATTENT1","~~","ATTENT1","",0.56,0.014,39.882,0,0.533,0.588
"391","ATTENT2","~~","ATTENT2","",0.384,0.011,36.418,0,0.363,0.404
"392","ATTENT3","~~","ATTENT3","",0.676,0.013,50.64,0,0.65,0.703
"393","ATTENT4","~~","ATTENT4","",0.236,0.007,31.474,0,0.221,0.25
"394","ATTENT5","~~","ATTENT5","",0.364,0.01,35.573,0,0.344,0.384
"395","ATTENT6","~~","ATTENT6","",0.446,0.021,21.546,0,0.405,0.486
"396","ATTENT7","~~","ATTENT7","",0.588,0.013,45.466,0,0.563,0.613
"397","ATTENT8","~~","ATTENT8","",0.229,0.011,20.6,0,0.207,0.251
"398","ATTENT9","~~","ATTENT9","",0.451,0.016,28.976,0,0.421,0.482
"399","ATTENT10","~~","ATTENT10","",0.222,0.007,29.819,0,0.207,0.236
"400","ATTENT11","~~","ATTENT11","",0.445,0.018,24.73,0,0.41,0.481
"401","RULE_BR1","~~","RULE_BR1","",0.898,0.069,13.076,0,0.763,1.032
"402","RULE_BR2","~~","RULE_BR2","",0.407,0.015,26.408,0,0.377,0.437
"403","RULE_BR3","~~","RULE_BR3","",0.199,0.011,17.852,0,0.177,0.221
"404","RULE_BR4","~~","RULE_BR4","",0.614,0.019,32.55,0,0.577,0.651
"405","RULE_BR5","~~","RULE_BR5","",0.411,0.012,34.493,0,0.388,0.435
"406","RULE_BR6","~~","RULE_BR6","",0.711,0.014,50.27,0,0.684,0.739
"407","RULE_BR7","~~","RULE_BR7","",0.369,0.057,6.482,0,0.258,0.481
"408","RULE_BR8","~~","RULE_BR8","",0.662,0.044,14.928,0,0.575,0.749
"409","RULE_BR9","~~","RULE_BR9","",0.525,0.076,6.872,0,0.375,0.674
"410","RULE_BR10","~~","RULE_BR10","",0.405,0.022,18.647,0,0.362,0.447
"411","RULE_BR11","~~","RULE_BR11","",0.405,0.029,14.111,0,0.349,0.461
"412","RULE_BR12","~~","RULE_BR12","",0.508,0.021,24.644,0,0.468,0.549
"413","RULE_BR13","~~","RULE_BR13","",0.546,0.044,12.533,0,0.46,0.631
"414","RULE_BR14","~~","RULE_BR14","",0.966,0.011,88.481,0,0.945,0.988
"415","RULE_BR15","~~","RULE_BR15","",0.669,0.192,3.488,0,0.293,1.045
"416","RULE_BR16","~~","RULE_BR16","",0.567,0.066,8.564,0,0.437,0.697
"417","RULE_BR17","~~","RULE_BR17","",0.973,0.003,333.262,0,0.967,0.978
"418","RULE_BR18","~~","RULE_BR18","",0.32,0.041,7.88,0,0.241,0.4
"419","AGGRESS1","~~","AGGRESS1","",0.414,0.009,43.835,0,0.395,0.432
"420","AGGRESS2","~~","AGGRESS2","",0.469,0.017,27.872,0,0.436,0.502
"421","AGGRESS3","~~","AGGRESS3","",0.432,0.012,36.357,0,0.409,0.455
"422","AGGRESS4","~~","AGGRESS4","",0.337,0.015,22.787,0,0.308,0.366
"423","AGGRESS5","~~","AGGRESS5","",0.324,0.013,24.257,0,0.298,0.351
"424","AGGRESS6","~~","AGGRESS6","",0.343,0.009,37.852,0,0.325,0.361
"425","AGGRESS7","~~","AGGRESS7","",0.445,0.013,33.501,0,0.419,0.471
"426","AGGRESS8","~~","AGGRESS8","",0.45,0.021,21.023,0,0.408,0.492
"427","AGGRESS9","~~","AGGRESS9","",0.45,0.019,24.028,0,0.414,0.487
"428","AGGRESS10","~~","AGGRESS10","",0.43,0.014,31.31,0,0.403,0.457
"429","AGGRESS11","~~","AGGRESS11","",0.401,0.01,39.553,0,0.381,0.421
"430","AGGRESS12","~~","AGGRESS12","",0.344,0.011,30.228,0,0.321,0.366
"431","AGGRESS13","~~","AGGRESS13","",0.452,0.014,31.633,0,0.424,0.48
"432","AGGRESS14","~~","AGGRESS14","",0.426,0.022,19.06,0,0.382,0.47
"433","AGGRESS15","~~","AGGRESS15","",0.545,0.016,34.367,0,0.514,0.576
"434","AGGRESS16","~~","AGGRESS16","",0.39,0.01,38.759,0,0.37,0.41
"435","AGGRESS17","~~","AGGRESS17","",0.33,0.022,15.047,0,0.287,0.373
"436","AGGRESS18","~~","AGGRESS18","",0.481,0.015,32.684,0,0.452,0.509
"437","ANXDEP","~~","ANXDEP","",0.144,0.021,6.782,0,0.102,0.186
"438","WITHDEP","~~","WITHDEP","",0.244,0.014,17.152,0,0.216,0.272
"439","SOMATIC","~~","SOMATIC","",0.509,0.015,33.6,0,0.479,0.539
"440","SOCIAL","~~","SOCIAL","",0.089,0.008,11.507,0,0.074,0.105
"441","THOUGHT","~~","THOUGHT","",0.133,0.009,15.232,0,0.116,0.15
"442","ATTENTION","~~","ATTENTION","",0.298,0.008,35.916,0,0.282,0.314
"443","RULE_BR","~~","RULE_BR","",-0.155,0.18,-0.86,0.39,-0.508,0.198
"444","AGGRESS","~~","AGGRESS","",0.152,0.032,4.751,0,0.089,0.215
"445","P","~~","P","",1,0,NA,NA,1,1
"446","Internalising","~~","Internalising","",1,0,NA,NA,1,1
"447","ANXDEP1","~*~","ANXDEP1","",1,0,NA,NA,1,1
"448","ANXDEP2","~*~","ANXDEP2","",1,0,NA,NA,1,1
"449","ANXDEP3","~*~","ANXDEP3","",1,0,NA,NA,1,1
"450","ANXDEP4","~*~","ANXDEP4","",1,0,NA,NA,1,1
"451","ANXDEP5","~*~","ANXDEP5","",1,0,NA,NA,1,1
"452","ANXDEP6","~*~","ANXDEP6","",1,0,NA,NA,1,1
"453","ANXDEP7","~*~","ANXDEP7","",1,0,NA,NA,1,1
"454","ANXDEP8","~*~","ANXDEP8","",1,0,NA,NA,1,1
"455","ANXDEP9","~*~","ANXDEP9","",1,0,NA,NA,1,1
"456","ANXDEP10","~*~","ANXDEP10","",1,0,NA,NA,1,1
"457","ANXDEP11","~*~","ANXDEP11","",1,0,NA,NA,1,1
"458","ANXDEP12","~*~","ANXDEP12","",1,0,NA,NA,1,1
"459","ANXDEP13","~*~","ANXDEP13","",1,0,NA,NA,1,1
"460","WITHDEP1","~*~","WITHDEP1","",1,0,NA,NA,1,1
"461","WITHDEP2","~*~","WITHDEP2","",1,0,NA,NA,1,1
"462","WITHDEP3","~*~","WITHDEP3","",1,0,NA,NA,1,1
"463","WITHDEP4","~*~","WITHDEP4","",1,0,NA,NA,1,1
"464","WITHDEP5","~*~","WITHDEP5","",1,0,NA,NA,1,1
"465","WITHDEP6","~*~","WITHDEP6","",1,0,NA,NA,1,1
"466","WITHDEP7","~*~","WITHDEP7","",1,0,NA,NA,1,1
"467","WITHDEP8","~*~","WITHDEP8","",1,0,NA,NA,1,1
"468","SOMATIC1","~*~","SOMATIC1","",1,0,NA,NA,1,1
"469","SOMATIC2","~*~","SOMATIC2","",1,0,NA,NA,1,1
"470","SOMATIC3","~*~","SOMATIC3","",1,0,NA,NA,1,1
"471","SOMATIC4","~*~","SOMATIC4","",1,0,NA,NA,1,1
"472","SOMATIC5","~*~","SOMATIC5","",1,0,NA,NA,1,1
"473","SOMATIC6","~*~","SOMATIC6","",1,0,NA,NA,1,1
"474","SOMATIC7","~*~","SOMATIC7","",1,0,NA,NA,1,1
"475","SOMATIC8","~*~","SOMATIC8","",1,0,NA,NA,1,1
"476","SOMATIC9","~*~","SOMATIC9","",1,0,NA,NA,1,1
"477","SOMATIC10","~*~","SOMATIC10","",1,0,NA,NA,1,1
"478","SOMATIC11","~*~","SOMATIC11","",1,0,NA,NA,1,1
"479","SOCIAL1","~*~","SOCIAL1","",1,0,NA,NA,1,1
"480","SOCIAL2","~*~","SOCIAL2","",1,0,NA,NA,1,1
"481","SOCIAL3","~*~","SOCIAL3","",1,0,NA,NA,1,1
"482","SOCIAL4","~*~","SOCIAL4","",1,0,NA,NA,1,1
"483","SOCIAL5","~*~","SOCIAL5","",1,0,NA,NA,1,1
"484","SOCIAL6","~*~","SOCIAL6","",1,0,NA,NA,1,1
"485","SOCIAL7","~*~","SOCIAL7","",1,0,NA,NA,1,1
"486","SOCIAL8","~*~","SOCIAL8","",1,0,NA,NA,1,1
"487","SOCIAL9","~*~","SOCIAL9","",1,0,NA,NA,1,1
"488","SOCIAL10","~*~","SOCIAL10","",1,0,NA,NA,1,1
"489","SOCIAL11","~*~","SOCIAL11","",1,0,NA,NA,1,1
"490","THOUGHT1","~*~","THOUGHT1","",1,0,NA,NA,1,1
"491","THOUGHT2","~*~","THOUGHT2","",1,0,NA,NA,1,1
"492","THOUGHT3","~*~","THOUGHT3","",1,0,NA,NA,1,1
"493","THOUGHT4","~*~","THOUGHT4","",1,0,NA,NA,1,1
"494","THOUGHT5","~*~","THOUGHT5","",1,0,NA,NA,1,1
"495","THOUGHT6","~*~","THOUGHT6","",1,0,NA,NA,1,1
"496","THOUGHT7","~*~","THOUGHT7","",1,0,NA,NA,1,1
"497","THOUGHT8","~*~","THOUGHT8","",1,0,NA,NA,1,1
"498","THOUGHT9","~*~","THOUGHT9","",1,0,NA,NA,1,1
"499","THOUGHT10","~*~","THOUGHT10","",1,0,NA,NA,1,1
"500","THOUGHT11","~*~","THOUGHT11","",1,0,NA,NA,1,1
"501","THOUGHT12","~*~","THOUGHT12","",1,0,NA,NA,1,1
"502","THOUGHT13","~*~","THOUGHT13","",1,0,NA,NA,1,1
"503","THOUGHT14","~*~","THOUGHT14","",1,0,NA,NA,1,1
"504","THOUGHT15","~*~","THOUGHT15","",1,0,NA,NA,1,1
"505","ATTENT1","~*~","ATTENT1","",1,0,NA,NA,1,1
"506","ATTENT2","~*~","ATTENT2","",1,0,NA,NA,1,1
"507","ATTENT3","~*~","ATTENT3","",1,0,NA,NA,1,1
"508","ATTENT4","~*~","ATTENT4","",1,0,NA,NA,1,1
"509","ATTENT5","~*~","ATTENT5","",1,0,NA,NA,1,1
"510","ATTENT6","~*~","ATTENT6","",1,0,NA,NA,1,1
"511","ATTENT7","~*~","ATTENT7","",1,0,NA,NA,1,1
"512","ATTENT8","~*~","ATTENT8","",1,0,NA,NA,1,1
"513","ATTENT9","~*~","ATTENT9","",1,0,NA,NA,1,1
"514","ATTENT10","~*~","ATTENT10","",1,0,NA,NA,1,1
"515","ATTENT11","~*~","ATTENT11","",1,0,NA,NA,1,1
"516","RULE_BR1","~*~","RULE_BR1","",1,0,NA,NA,1,1
"517","RULE_BR2","~*~","RULE_BR2","",1,0,NA,NA,1,1
"518","RULE_BR3","~*~","RULE_BR3","",1,0,NA,NA,1,1
"519","RULE_BR4","~*~","RULE_BR4","",1,0,NA,NA,1,1
"520","RULE_BR5","~*~","RULE_BR5","",1,0,NA,NA,1,1
"521","RULE_BR6","~*~","RULE_BR6","",1,0,NA,NA,1,1
"522","RULE_BR7","~*~","RULE_BR7","",1,0,NA,NA,1,1
"523","RULE_BR8","~*~","RULE_BR8","",1,0,NA,NA,1,1
"524","RULE_BR9","~*~","RULE_BR9","",1,0,NA,NA,1,1
"525","RULE_BR10","~*~","RULE_BR10","",1,0,NA,NA,1,1
"526","RULE_BR11","~*~","RULE_BR11","",1,0,NA,NA,1,1
"527","RULE_BR12","~*~","RULE_BR12","",1,0,NA,NA,1,1
"528","RULE_BR13","~*~","RULE_BR13","",1,0,NA,NA,1,1
"529","RULE_BR14","~*~","RULE_BR14","",1,0,NA,NA,1,1
"530","RULE_BR15","~*~","RULE_BR15","",1,0,NA,NA,1,1
"531","RULE_BR16","~*~","RULE_BR16","",1,0,NA,NA,1,1
"532","RULE_BR17","~*~","RULE_BR17","",1,0,NA,NA,1,1
"533","RULE_BR18","~*~","RULE_BR18","",1,0,NA,NA,1,1
"534","AGGRESS1","~*~","AGGRESS1","",1,0,NA,NA,1,1
"535","AGGRESS2","~*~","AGGRESS2","",1,0,NA,NA,1,1
"536","AGGRESS3","~*~","AGGRESS3","",1,0,NA,NA,1,1
"537","AGGRESS4","~*~","AGGRESS4","",1,0,NA,NA,1,1
"538","AGGRESS5","~*~","AGGRESS5","",1,0,NA,NA,1,1
"539","AGGRESS6","~*~","AGGRESS6","",1,0,NA,NA,1,1
"540","AGGRESS7","~*~","AGGRESS7","",1,0,NA,NA,1,1
"541","AGGRESS8","~*~","AGGRESS8","",1,0,NA,NA,1,1
"542","AGGRESS9","~*~","AGGRESS9","",1,0,NA,NA,1,1
"543","AGGRESS10","~*~","AGGRESS10","",1,0,NA,NA,1,1
"544","AGGRESS11","~*~","AGGRESS11","",1,0,NA,NA,1,1
"545","AGGRESS12","~*~","AGGRESS12","",1,0,NA,NA,1,1
"546","AGGRESS13","~*~","AGGRESS13","",1,0,NA,NA,1,1
"547","AGGRESS14","~*~","AGGRESS14","",1,0,NA,NA,1,1
"548","AGGRESS15","~*~","AGGRESS15","",1,0,NA,NA,1,1
"549","AGGRESS16","~*~","AGGRESS16","",1,0,NA,NA,1,1
"550","AGGRESS17","~*~","AGGRESS17","",1,0,NA,NA,1,1
"551","AGGRESS18","~*~","AGGRESS18","",1,0,NA,NA,1,1
"552","ANXDEP1","~1","","",0,0,NA,NA,0,0
"553","ANXDEP2","~1","","",0,0,NA,NA,0,0
"554","ANXDEP3","~1","","",0,0,NA,NA,0,0
"555","ANXDEP4","~1","","",0,0,NA,NA,0,0
"556","ANXDEP5","~1","","",0,0,NA,NA,0,0
"557","ANXDEP6","~1","","",0,0,NA,NA,0,0
"558","ANXDEP7","~1","","",0,0,NA,NA,0,0
"559","ANXDEP8","~1","","",0,0,NA,NA,0,0
"560","ANXDEP9","~1","","",0,0,NA,NA,0,0
"561","ANXDEP10","~1","","",0,0,NA,NA,0,0
"562","ANXDEP11","~1","","",0,0,NA,NA,0,0
"563","ANXDEP12","~1","","",0,0,NA,NA,0,0
"564","ANXDEP13","~1","","",0,0,NA,NA,0,0
"565","WITHDEP1","~1","","",0,0,NA,NA,0,0
"566","WITHDEP2","~1","","",0,0,NA,NA,0,0
"567","WITHDEP3","~1","","",0,0,NA,NA,0,0
"568","WITHDEP4","~1","","",0,0,NA,NA,0,0
"569","WITHDEP5","~1","","",0,0,NA,NA,0,0
"570","WITHDEP6","~1","","",0,0,NA,NA,0,0
"571","WITHDEP7","~1","","",0,0,NA,NA,0,0
"572","WITHDEP8","~1","","",0,0,NA,NA,0,0
"573","SOMATIC1","~1","","",0,0,NA,NA,0,0
"574","SOMATIC2","~1","","",0,0,NA,NA,0,0
"575","SOMATIC3","~1","","",0,0,NA,NA,0,0
"576","SOMATIC4","~1","","",0,0,NA,NA,0,0
"577","SOMATIC5","~1","","",0,0,NA,NA,0,0
"578","SOMATIC6","~1","","",0,0,NA,NA,0,0
"579","SOMATIC7","~1","","",0,0,NA,NA,0,0
"580","SOMATIC8","~1","","",0,0,NA,NA,0,0
"581","SOMATIC9","~1","","",0,0,NA,NA,0,0
"582","SOMATIC10","~1","","",0,0,NA,NA,0,0
"583","SOMATIC11","~1","","",0,0,NA,NA,0,0
"584","SOCIAL1","~1","","",0,0,NA,NA,0,0
"585","SOCIAL2","~1","","",0,0,NA,NA,0,0
"586","SOCIAL3","~1","","",0,0,NA,NA,0,0
"587","SOCIAL4","~1","","",0,0,NA,NA,0,0
"588","SOCIAL5","~1","","",0,0,NA,NA,0,0
"589","SOCIAL6","~1","","",0,0,NA,NA,0,0
"590","SOCIAL7","~1","","",0,0,NA,NA,0,0
"591","SOCIAL8","~1","","",0,0,NA,NA,0,0
"592","SOCIAL9","~1","","",0,0,NA,NA,0,0
"593","SOCIAL10","~1","","",0,0,NA,NA,0,0
"594","SOCIAL11","~1","","",0,0,NA,NA,0,0
"595","THOUGHT1","~1","","",0,0,NA,NA,0,0
"596","THOUGHT2","~1","","",0,0,NA,NA,0,0
"597","THOUGHT3","~1","","",0,0,NA,NA,0,0
"598","THOUGHT4","~1","","",0,0,NA,NA,0,0
"599","THOUGHT5","~1","","",0,0,NA,NA,0,0
"600","THOUGHT6","~1","","",0,0,NA,NA,0,0
"601","THOUGHT7","~1","","",0,0,NA,NA,0,0
"602","THOUGHT8","~1","","",0,0,NA,NA,0,0
"603","THOUGHT9","~1","","",0,0,NA,NA,0,0
"604","THOUGHT10","~1","","",0,0,NA,NA,0,0
"605","THOUGHT11","~1","","",0,0,NA,NA,0,0
"606","THOUGHT12","~1","","",0,0,NA,NA,0,0
"607","THOUGHT13","~1","","",0,0,NA,NA,0,0
"608","THOUGHT14","~1","","",0,0,NA,NA,0,0
"609","THOUGHT15","~1","","",0,0,NA,NA,0,0
"610","ATTENT1","~1","","",0,0,NA,NA,0,0
"611","ATTENT2","~1","","",0,0,NA,NA,0,0
"612","ATTENT3","~1","","",0,0,NA,NA,0,0
"613","ATTENT4","~1","","",0,0,NA,NA,0,0
"614","ATTENT5","~1","","",0,0,NA,NA,0,0
"615","ATTENT6","~1","","",0,0,NA,NA,0,0
"616","ATTENT7","~1","","",0,0,NA,NA,0,0
"617","ATTENT8","~1","","",0,0,NA,NA,0,0
"618","ATTENT9","~1","","",0,0,NA,NA,0,0
"619","ATTENT10","~1","","",0,0,NA,NA,0,0
"620","ATTENT11","~1","","",0,0,NA,NA,0,0
"621","RULE_BR1","~1","","",0,0,NA,NA,0,0
"622","RULE_BR2","~1","","",0,0,NA,NA,0,0
"623","RULE_BR3","~1","","",0,0,NA,NA,0,0
"624","RULE_BR4","~1","","",0,0,NA,NA,0,0
"625","RULE_BR5","~1","","",0,0,NA,NA,0,0
"626","RULE_BR6","~1","","",0,0,NA,NA,0,0
"627","RULE_BR7","~1","","",0,0,NA,NA,0,0
"628","RULE_BR8","~1","","",0,0,NA,NA,0,0
"629","RULE_BR9","~1","","",0,0,NA,NA,0,0
"630","RULE_BR10","~1","","",0,0,NA,NA,0,0
"631","RULE_BR11","~1","","",0,0,NA,NA,0,0
"632","RULE_BR12","~1","","",0,0,NA,NA,0,0
"633","RULE_BR13","~1","","",0,0,NA,NA,0,0
"634","RULE_BR14","~1","","",0,0,NA,NA,0,0
"635","RULE_BR15","~1","","",0,0,NA,NA,0,0
"636","RULE_BR16","~1","","",0,0,NA,NA,0,0
"637","RULE_BR17","~1","","",0,0,NA,NA,0,0
"638","RULE_BR18","~1","","",0,0,NA,NA,0,0
"639","AGGRESS1","~1","","",0,0,NA,NA,0,0
"640","AGGRESS2","~1","","",0,0,NA,NA,0,0
"641","AGGRESS3","~1","","",0,0,NA,NA,0,0
"642","AGGRESS4","~1","","",0,0,NA,NA,0,0
"643","AGGRESS5","~1","","",0,0,NA,NA,0,0
"644","AGGRESS6","~1","","",0,0,NA,NA,0,0
"645","AGGRESS7","~1","","",0,0,NA,NA,0,0
"646","AGGRESS8","~1","","",0,0,NA,NA,0,0
"647","AGGRESS9","~1","","",0,0,NA,NA,0,0
"648","AGGRESS10","~1","","",0,0,NA,NA,0,0
"649","AGGRESS11","~1","","",0,0,NA,NA,0,0
"650","AGGRESS12","~1","","",0,0,NA,NA,0,0
"651","AGGRESS13","~1","","",0,0,NA,NA,0,0
"652","AGGRESS14","~1","","",0,0,NA,NA,0,0
"653","AGGRESS15","~1","","",0,0,NA,NA,0,0
"654","AGGRESS16","~1","","",0,0,NA,NA,0,0
"655","AGGRESS17","~1","","",0,0,NA,NA,0,0
"656","AGGRESS18","~1","","",0,0,NA,NA,0,0
"657","ANXDEP","~1","","",0,0,NA,NA,0,0
"658","WITHDEP","~1","","",0,0,NA,NA,0,0
"659","SOMATIC","~1","","",0,0,NA,NA,0,0
"660","SOCIAL","~1","","",0,0,NA,NA,0,0
"661","THOUGHT","~1","","",0,0,NA,NA,0,0
"662","ATTENTION","~1","","",0,0,NA,NA,0,0
"663","RULE_BR","~1","","",0,0,NA,NA,0,0
"664","AGGRESS","~1","","",0,0,NA,NA,0,0
"665","P","~1","","",0,0,NA,NA,0,0
"666","Externalising","~1","","",0,0,NA,NA,0,0
"667","Internalising","~1","","",0,0,NA,NA,0,0
