"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"74","RULE_BR","=~","RULE_BR5",0.765,0.008,97.392,0,0.749,0.78
"75","RULE_BR","=~","RULE_BR6",0.536,0.013,40.872,0,0.51,0.562
"76","RULE_BR","=~","RULE_BR7",0.797,0.036,22.09,0,0.726,0.868
"77","RULE_BR","=~","RULE_BR8",0.577,0.038,15.09,0,0.502,0.652
"78","RULE_BR","=~","RULE_BR9",0.691,0.055,12.544,0,0.583,0.799
"79","RULE_BR","=~","RULE_BR10",0.77,0.014,54.017,0,0.742,0.798
"80","RULE_BR","=~","RULE_BR11",0.77,0.019,41.03,0,0.733,0.807
"81","RULE_BR","=~","RULE_BR12",0.698,0.015,46.743,0,0.669,0.727
"82","RULE_BR","=~","RULE_BR13",0.673,0.032,20.796,0,0.61,0.737
"83","RULE_BR","=~","RULE_BR14",0.182,0.03,6.149,0,0.124,0.241
"84","RULE_BR","=~","RULE_BR15",0.592,0.175,3.386,0.001,0.249,0.935
"85","RULE_BR","=~","RULE_BR16",0.658,0.05,13.041,0,0.559,0.757
"86","RULE_BR","=~","RULE_BR17",0.167,0.009,18.773,0,0.149,0.184
"87","RULE_BR","=~","RULE_BR18",0.827,0.025,32.799,0,0.778,0.877
"88","AGGRESS","=~","AGGRESS1",0.766,0.006,123.748,0,0.754,0.778
"89","AGGRESS","=~","AGGRESS2",0.727,0.012,62.233,0,0.704,0.75
"90","AGGRESS","=~","AGGRESS3",0.753,0.008,95.445,0,0.737,0.768
"91","AGGRESS","=~","AGGRESS4",0.815,0.009,88.86,0,0.797,0.833
"92","AGGRESS","=~","AGGRESS5",0.823,0.008,99.912,0,0.807,0.839
"93","AGGRESS","=~","AGGRESS6",0.813,0.006,142.778,0,0.802,0.824
"94","AGGRESS","=~","AGGRESS7",0.745,0.009,81.866,0,0.727,0.763
"95","AGGRESS","=~","AGGRESS8",0.741,0.015,50.753,0,0.712,0.769
"96","AGGRESS","=~","AGGRESS9",0.741,0.013,58.213,0,0.716,0.766
"97","AGGRESS","=~","AGGRESS10",0.754,0.009,82.711,0,0.736,0.772
"98","AGGRESS","=~","AGGRESS11",0.774,0.007,118.206,0,0.761,0.787
"99","AGGRESS","=~","AGGRESS12",0.81,0.007,116.027,0,0.796,0.824
"100","AGGRESS","=~","AGGRESS13",0.741,0.01,77.506,0,0.722,0.76
"101","AGGRESS","=~","AGGRESS14",0.758,0.015,51.317,0,0.729,0.787
"102","AGGRESS","=~","AGGRESS15",0.673,0.012,56.956,0,0.65,0.696
"103","AGGRESS","=~","AGGRESS16",0.781,0.006,120.966,0,0.768,0.793
"104","AGGRESS","=~","AGGRESS17",0.82,0.014,60.51,0,0.793,0.846
"105","AGGRESS","=~","AGGRESS18",0.72,0.01,70.49,0,0.7,0.74
"106","P","=~","ANXDEP",0.797,0.006,130.765,0,0.785,0.809
"107","P","=~","WITHDEP",0.822,0.007,116.038,0,0.809,0.836
"108","P","=~","SOCIAL",0.932,0.004,231.618,0,0.924,0.94
"109","P","=~","SOMATIC",0.638,0.01,64.35,0,0.619,0.658
"110","P","=~","THOUGHT",0.911,0.005,193.147,0,0.902,0.92
"111","P","=~","ATTENTION",0.815,0.005,166.471,0,0.806,0.825
"112","P","=~","RULE_BR",0.869,0.005,158.19,0,0.858,0.88
"113","P","=~","AGGRESS",0.902,0.004,252.821,0,0.895,0.909
"114","ANXDEP1","|","t1",1.169,0.015,78.581,0,1.14,1.198
"115","ANXDEP1","|","t2",2.174,0.03,73.478,0,2.116,2.232
"116","ANXDEP2","|","t1",0.804,0.013,61.975,0,0.778,0.829
