"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"346","SOMATIC3","~~","SOMATIC3",0.489,0.033,14.97,0,0.425,0.553
"347","SOMATIC4","~~","SOMATIC4",0.281,0.036,7.768,0,0.21,0.352
"348","SOMATIC5","~~","SOMATIC5",0.668,0.019,34.804,0,0.63,0.706
"349","SOMATIC6","~~","SOMATIC6",0.686,0.016,43.063,0,0.655,0.717
"350","SOMATIC7","~~","SOMATIC7",0.452,0.02,22.408,0,0.412,0.491
"351","SOMATIC8","~~","SOMATIC8",0.755,0.028,26.74,0,0.699,0.81
"352","SOMATIC9","~~","SOMATIC9",0.799,0.017,47.204,0,0.766,0.832
"353","SOMATIC10","~~","SOMATIC10",0.561,0.016,34.902,0,0.529,0.592
"354","SOMATIC11","~~","SOMATIC11",0.714,0.027,26.808,0,0.662,0.766
"355","SOCIAL1","~~","SOCIAL1",0.596,0.014,42.005,0,0.568,0.623
"356","SOCIAL2","~~","SOCIAL2",0.505,0.016,32.545,0,0.475,0.536
"357","SOCIAL3","~~","SOCIAL3",0.37,0.015,25.156,0,0.342,0.399
"358","SOCIAL4","~~","SOCIAL4",0.493,0.013,37.93,0,0.467,0.518
"359","SOCIAL5","~~","SOCIAL5",0.433,0.02,21.263,0,0.393,0.473
"360","SOCIAL6","~~","SOCIAL6",0.723,0.014,51.888,0,0.695,0.75
"361","SOCIAL7","~~","SOCIAL7",0.513,0.014,35.926,0,0.485,0.541
"362","SOCIAL8","~~","SOCIAL8",0.39,0.015,25.214,0,0.359,0.42
"363","SOCIAL9","~~","SOCIAL9",0.573,0.016,35.773,0,0.541,0.604
"364","SOCIAL10","~~","SOCIAL10",0.689,0.014,50.732,0,0.663,0.716
"365","SOCIAL11","~~","SOCIAL11",0.877,0.012,74.735,0,0.854,0.9
"366","THOUGHT1","~~","THOUGHT1",0.412,0.013,32.745,0,0.387,0.437
"367","THOUGHT2","~~","THOUGHT2",0.533,0.045,11.97,0,0.446,0.62
"368","THOUGHT3","~~","THOUGHT3",0.598,0.037,16.242,0,0.525,0.67
"369","THOUGHT4","~~","THOUGHT4",0.592,0.018,33.761,0,0.558,0.627
"370","THOUGHT5","~~","THOUGHT5",0.733,0.012,58.977,0,0.708,0.757
"371","THOUGHT6","~~","THOUGHT6",0.775,0.034,22.731,0,0.708,0.842
"372","THOUGHT7","~~","THOUGHT7",0.78,0.028,28.186,0,0.726,0.835
"373","THOUGHT8","~~","THOUGHT8",0.444,0.019,22.946,0,0.406,0.482
"374","THOUGHT9","~~","THOUGHT9",0.575,0.041,14.01,0,0.495,0.656
"375","THOUGHT10","~~","THOUGHT10",0.661,0.017,39.36,0,0.628,0.694
"376","THOUGHT11","~~","THOUGHT11",0.677,0.014,47.984,0,0.65,0.705
"377","THOUGHT12","~~","THOUGHT12",0.314,0.022,14.246,0,0.27,0.357
"378","THOUGHT13","~~","THOUGHT13",0.488,0.02,24.938,0,0.449,0.526
"379","THOUGHT14","~~","THOUGHT14",0.897,0.01,94.086,0,0.878,0.915
"380","THOUGHT15","~~","THOUGHT15",0.603,0.015,39.193,0,0.573,0.633
"381","ATTENT1","~~","ATTENT1",0.56,0.014,39.799,0,0.533,0.588
"382","ATTENT2","~~","ATTENT2",0.384,0.011,36.484,0,0.363,0.405
"383","ATTENT3","~~","ATTENT3",0.675,0.013,50.492,0,0.649,0.701
"384","ATTENT4","~~","ATTENT4",0.236,0.007,31.468,0,0.221,0.251
"385","ATTENT5","~~","ATTENT5",0.364,0.01,35.476,0,0.344,0.384
"386","ATTENT6","~~","ATTENT6",0.445,0.021,21.452,0,0.405,0.486
"387","ATTENT7","~~","ATTENT7",0.588,0.013,45.381,0,0.563,0.614
"388","ATTENT8","~~","ATTENT8",0.228,0.011,20.575,0,0.207,0.25
"389","ATTENT9","~~","ATTENT9",0.45,0.016,28.914,0,0.42,0.481
"390","ATTENT10","~~","ATTENT10",0.222,0.007,29.867,0,0.208,0.237
"391","ATTENT11","~~","ATTENT11",0.445,0.018,24.637,0,0.409,0.48
"392","RULE_BR1","~~","RULE_BR1",0.901,0.067,13.502,0,0.77,1.031
"393","RULE_BR2","~~","RULE_BR2",0.408,0.016,26.055,0,0.377,0.439
"394","RULE_BR3","~~","RULE_BR3",0.188,0.012,16.032,0,0.165,0.211
"395","RULE_BR4","~~","RULE_BR4",0.619,0.019,32.795,0,0.582,0.656
"396","RULE_BR5","~~","RULE_BR5",0.415,0.012,34.547,0,0.391,0.439
"397","RULE_BR6","~~","RULE_BR6",0.713,0.014,50.733,0,0.685,0.74
"398","RULE_BR7","~~","RULE_BR7",0.365,0.058,6.34,0,0.252,0.477
"399","RULE_BR8","~~","RULE_BR8",0.667,0.044,15.114,0,0.581,0.754
"400","RULE_BR9","~~","RULE_BR9",0.523,0.076,6.877,0,0.374,0.672
"401","RULE_BR10","~~","RULE_BR10",0.407,0.022,18.537,0,0.364,0.45
"402","RULE_BR11","~~","RULE_BR11",0.407,0.029,14.071,0,0.35,0.464
"403","RULE_BR12","~~","RULE_BR12",0.513,0.021,24.604,0,0.472,0.554
"404","RULE_BR13","~~","RULE_BR13",0.547,0.044,12.554,0,0.462,0.632
"405","RULE_BR14","~~","RULE_BR14",0.967,0.011,89.243,0,0.945,0.988
"406","RULE_BR15","~~","RULE_BR15",0.65,0.207,3.138,0.002,0.244,1.055
"407","RULE_BR16","~~","RULE_BR16",0.567,0.066,8.527,0,0.436,0.697
"408","RULE_BR17","~~","RULE_BR17",0.972,0.003,328.632,0,0.966,0.978
"409","RULE_BR18","~~","RULE_BR18",0.315,0.042,7.558,0,0.234,0.397
"410","AGGRESS1","~~","AGGRESS1",0.413,0.009,43.551,0,0.395,0.432
"411","AGGRESS2","~~","AGGRESS2",0.471,0.017,27.717,0,0.438,0.504
"412","AGGRESS3","~~","AGGRESS3",0.433,0.012,36.464,0,0.41,0.456
"413","AGGRESS4","~~","AGGRESS4",0.336,0.015,22.522,0,0.307,0.366
"414","AGGRESS5","~~","AGGRESS5",0.323,0.014,23.861,0,0.297,0.35
"415","AGGRESS6","~~","AGGRESS6",0.34,0.009,36.699,0,0.321,0.358
"416","AGGRESS7","~~","AGGRESS7",0.445,0.014,32.857,0,0.419,0.472
"417","AGGRESS8","~~","AGGRESS8",0.451,0.022,20.868,0,0.409,0.494
"418","AGGRESS9","~~","AGGRESS9",0.451,0.019,23.944,0,0.414,0.488
"419","AGGRESS10","~~","AGGRESS10",0.431,0.014,31.329,0,0.404,0.458
"420","AGGRESS11","~~","AGGRESS11",0.401,0.01,39.591,0,0.381,0.421
"421","AGGRESS12","~~","AGGRESS12",0.344,0.011,30.437,0,0.322,0.366
"422","AGGRESS13","~~","AGGRESS13",0.451,0.014,31.848,0,0.423,0.479
"423","AGGRESS14","~~","AGGRESS14",0.425,0.022,18.959,0,0.381,0.469
"424","AGGRESS15","~~","AGGRESS15",0.547,0.016,34.342,0,0.515,0.578
"425","AGGRESS16","~~","AGGRESS16",0.391,0.01,38.793,0,0.371,0.411
"426","AGGRESS17","~~","AGGRESS17",0.328,0.022,14.783,0,0.285,0.372
"427","AGGRESS18","~~","AGGRESS18",0.482,0.015,32.788,0,0.453,0.511
"428","ANXDEP","~~","ANXDEP",0.365,0.01,37.64,0,0.346,0.384
"429","WITHDEP","~~","WITHDEP",0.324,0.012,27.754,0,0.301,0.346
"430","SOMATIC","~~","SOMATIC",0.592,0.013,46.759,0,0.568,0.617
"431","SOCIAL","~~","SOCIAL",0.131,0.008,17.406,0,0.116,0.145
"432","THOUGHT","~~","THOUGHT",0.17,0.009,19.816,0,0.153,0.187
"433","ATTENTION","~~","ATTENTION",0.335,0.008,41.933,0,0.319,0.351
"434","RULE_BR","~~","RULE_BR",0.245,0.01,25.707,0,0.227,0.264
"435","AGGRESS","~~","AGGRESS",0.186,0.006,28.893,0,0.173,0.199
"436","P","~~","P",1,0,NA,NA,1,1
"437","ANXDEP1","~*~","ANXDEP1",1,0,NA,NA,1,1
"438","ANXDEP2","~*~","ANXDEP2",1,0,NA,NA,1,1
"439","ANXDEP3","~*~","ANXDEP3",1,0,NA,NA,1,1
"440","ANXDEP4","~*~","ANXDEP4",1,0,NA,NA,1,1
"441","ANXDEP5","~*~","ANXDEP5",1,0,NA,NA,1,1
"442","ANXDEP6","~*~","ANXDEP6",1,0,NA,NA,1,1
"443","ANXDEP7","~*~","ANXDEP7",1,0,NA,NA,1,1
"444","ANXDEP8","~*~","ANXDEP8",1,0,NA,NA,1,1
"445","ANXDEP9","~*~","ANXDEP9",1,0,NA,NA,1,1
"446","ANXDEP10","~*~","ANXDEP10",1,0,NA,NA,1,1
"447","ANXDEP11","~*~","ANXDEP11",1,0,NA,NA,1,1
"448","ANXDEP12","~*~","ANXDEP12",1,0,NA,NA,1,1
"449","ANXDEP13","~*~","ANXDEP13",1,0,NA,NA,1,1
"450","WITHDEP1","~*~","WITHDEP1",1,0,NA,NA,1,1
"451","WITHDEP2","~*~","WITHDEP2",1,0,NA,NA,1,1
"452","WITHDEP3","~*~","WITHDEP3",1,0,NA,NA,1,1
"453","WITHDEP4","~*~","WITHDEP4",1,0,NA,NA,1,1
"454","WITHDEP5","~*~","WITHDEP5",1,0,NA,NA,1,1
"455","WITHDEP6","~*~","WITHDEP6",1,0,NA,NA,1,1
"456","WITHDEP7","~*~","WITHDEP7",1,0,NA,NA,1,1
"457","WITHDEP8","~*~","WITHDEP8",1,0,NA,NA,1,1
"458","SOMATIC1","~*~","SOMATIC1",1,0,NA,NA,1,1
"459","SOMATIC2","~*~","SOMATIC2",1,0,NA,NA,1,1
"460","SOMATIC3","~*~","SOMATIC3",1,0,NA,NA,1,1
"461","SOMATIC4","~*~","SOMATIC4",1,0,NA,NA,1,1
"462","SOMATIC5","~*~","SOMATIC5",1,0,NA,NA,1,1
"463","SOMATIC6","~*~","SOMATIC6",1,0,NA,NA,1,1
"464","SOMATIC7","~*~","SOMATIC7",1,0,NA,NA,1,1
"465","SOMATIC8","~*~","SOMATIC8",1,0,NA,NA,1,1
"466","SOMATIC9","~*~","SOMATIC9",1,0,NA,NA,1,1
"467","SOMATIC10","~*~","SOMATIC10",1,0,NA,NA,1,1
"468","SOMATIC11","~*~","SOMATIC11",1,0,NA,NA,1,1
"469","SOCIAL1","~*~","SOCIAL1",1,0,NA,NA,1,1
"470","SOCIAL2","~*~","SOCIAL2",1,0,NA,NA,1,1
"471","SOCIAL3","~*~","SOCIAL3",1,0,NA,NA,1,1
"472","SOCIAL4","~*~","SOCIAL4",1,0,NA,NA,1,1
"473","SOCIAL5","~*~","SOCIAL5",1,0,NA,NA,1,1
"474","SOCIAL6","~*~","SOCIAL6",1,0,NA,NA,1,1
"475","SOCIAL7","~*~","SOCIAL7",1,0,NA,NA,1,1
"476","SOCIAL8","~*~","SOCIAL8",1,0,NA,NA,1,1
"477","SOCIAL9","~*~","SOCIAL9",1,0,NA,NA,1,1
"478","SOCIAL10","~*~","SOCIAL10",1,0,NA,NA,1,1
"479","SOCIAL11","~*~","SOCIAL11",1,0,NA,NA,1,1
"480","THOUGHT1","~*~","THOUGHT1",1,0,NA,NA,1,1
"481","THOUGHT2","~*~","THOUGHT2",1,0,NA,NA,1,1
"482","THOUGHT3","~*~","THOUGHT3",1,0,NA,NA,1,1
"483","THOUGHT4","~*~","THOUGHT4",1,0,NA,NA,1,1
"484","THOUGHT5","~*~","THOUGHT5",1,0,NA,NA,1,1
"485","THOUGHT6","~*~","THOUGHT6",1,0,NA,NA,1,1
"486","THOUGHT7","~*~","THOUGHT7",1,0,NA,NA,1,1
"487","THOUGHT8","~*~","THOUGHT8",1,0,NA,NA,1,1
"488","THOUGHT9","~*~","THOUGHT9",1,0,NA,NA,1,1
"489","THOUGHT10","~*~","THOUGHT10",1,0,NA,NA,1,1
"490","THOUGHT11","~*~","THOUGHT11",1,0,NA,NA,1,1
"491","THOUGHT12","~*~","THOUGHT12",1,0,NA,NA,1,1
"492","THOUGHT13","~*~","THOUGHT13",1,0,NA,NA,1,1
"493","THOUGHT14","~*~","THOUGHT14",1,0,NA,NA,1,1
"494","THOUGHT15","~*~","THOUGHT15",1,0,NA,NA,1,1
"495","ATTENT1","~*~","ATTENT1",1,0,NA,NA,1,1
"496","ATTENT2","~*~","ATTENT2",1,0,NA,NA,1,1
"497","ATTENT3","~*~","ATTENT3",1,0,NA,NA,1,1
"498","ATTENT4","~*~","ATTENT4",1,0,NA,NA,1,1
"499","ATTENT5","~*~","ATTENT5",1,0,NA,NA,1,1
"500","ATTENT6","~*~","ATTENT6",1,0,NA,NA,1,1
"501","ATTENT7","~*~","ATTENT7",1,0,NA,NA,1,1
"502","ATTENT8","~*~","ATTENT8",1,0,NA,NA,1,1
"503","ATTENT9","~*~","ATTENT9",1,0,NA,NA,1,1
"504","ATTENT10","~*~","ATTENT10",1,0,NA,NA,1,1
"505","ATTENT11","~*~","ATTENT11",1,0,NA,NA,1,1
"506","RULE_BR1","~*~","RULE_BR1",1,0,NA,NA,1,1
"507","RULE_BR2","~*~","RULE_BR2",1,0,NA,NA,1,1
"508","RULE_BR3","~*~","RULE_BR3",1,0,NA,NA,1,1
"509","RULE_BR4","~*~","RULE_BR4",1,0,NA,NA,1,1
"510","RULE_BR5","~*~","RULE_BR5",1,0,NA,NA,1,1
"511","RULE_BR6","~*~","RULE_BR6",1,0,NA,NA,1,1
"512","RULE_BR7","~*~","RULE_BR7",1,0,NA,NA,1,1
"513","RULE_BR8","~*~","RULE_BR8",1,0,NA,NA,1,1
"514","RULE_BR9","~*~","RULE_BR9",1,0,NA,NA,1,1
"515","RULE_BR10","~*~","RULE_BR10",1,0,NA,NA,1,1
"516","RULE_BR11","~*~","RULE_BR11",1,0,NA,NA,1,1
"517","RULE_BR12","~*~","RULE_BR12",1,0,NA,NA,1,1
"518","RULE_BR13","~*~","RULE_BR13",1,0,NA,NA,1,1
"519","RULE_BR14","~*~","RULE_BR14",1,0,NA,NA,1,1
"520","RULE_BR15","~*~","RULE_BR15",1,0,NA,NA,1,1
"521","RULE_BR16","~*~","RULE_BR16",1,0,NA,NA,1,1
"522","RULE_BR17","~*~","RULE_BR17",1,0,NA,NA,1,1
"523","RULE_BR18","~*~","RULE_BR18",1,0,NA,NA,1,1
"524","AGGRESS1","~*~","AGGRESS1",1,0,NA,NA,1,1
"525","AGGRESS2","~*~","AGGRESS2",1,0,NA,NA,1,1
"526","AGGRESS3","~*~","AGGRESS3",1,0,NA,NA,1,1
"527","AGGRESS4","~*~","AGGRESS4",1,0,NA,NA,1,1
"528","AGGRESS5","~*~","AGGRESS5",1,0,NA,NA,1,1
"529","AGGRESS6","~*~","AGGRESS6",1,0,NA,NA,1,1
"530","AGGRESS7","~*~","AGGRESS7",1,0,NA,NA,1,1
"531","AGGRESS8","~*~","AGGRESS8",1,0,NA,NA,1,1
"532","AGGRESS9","~*~","AGGRESS9",1,0,NA,NA,1,1
"533","AGGRESS10","~*~","AGGRESS10",1,0,NA,NA,1,1
"534","AGGRESS11","~*~","AGGRESS11",1,0,NA,NA,1,1
"535","AGGRESS12","~*~","AGGRESS12",1,0,NA,NA,1,1
"536","AGGRESS13","~*~","AGGRESS13",1,0,NA,NA,1,1
"537","AGGRESS14","~*~","AGGRESS14",1,0,NA,NA,1,1
"538","AGGRESS15","~*~","AGGRESS15",1,0,NA,NA,1,1
"539","AGGRESS16","~*~","AGGRESS16",1,0,NA,NA,1,1
"540","AGGRESS17","~*~","AGGRESS17",1,0,NA,NA,1,1
"541","AGGRESS18","~*~","AGGRESS18",1,0,NA,NA,1,1
"542","ANXDEP1","~1","",0,0,NA,NA,0,0
"543","ANXDEP2","~1","",0,0,NA,NA,0,0
"544","ANXDEP3","~1","",0,0,NA,NA,0,0
"545","ANXDEP4","~1","",0,0,NA,NA,0,0
"546","ANXDEP5","~1","",0,0,NA,NA,0,0
"547","ANXDEP6","~1","",0,0,NA,NA,0,0
"548","ANXDEP7","~1","",0,0,NA,NA,0,0
"549","ANXDEP8","~1","",0,0,NA,NA,0,0
"550","ANXDEP9","~1","",0,0,NA,NA,0,0
"551","ANXDEP10","~1","",0,0,NA,NA,0,0
"552","ANXDEP11","~1","",0,0,NA,NA,0,0
"553","ANXDEP12","~1","",0,0,NA,NA,0,0
"554","ANXDEP13","~1","",0,0,NA,NA,0,0
"555","WITHDEP1","~1","",0,0,NA,NA,0,0
"556","WITHDEP2","~1","",0,0,NA,NA,0,0
"557","WITHDEP3","~1","",0,0,NA,NA,0,0
"558","WITHDEP4","~1","",0,0,NA,NA,0,0
"559","WITHDEP5","~1","",0,0,NA,NA,0,0
"560","WITHDEP6","~1","",0,0,NA,NA,0,0
"561","WITHDEP7","~1","",0,0,NA,NA,0,0
"562","WITHDEP8","~1","",0,0,NA,NA,0,0
"563","SOMATIC1","~1","",0,0,NA,NA,0,0
"564","SOMATIC2","~1","",0,0,NA,NA,0,0
"565","SOMATIC3","~1","",0,0,NA,NA,0,0
"566","SOMATIC4","~1","",0,0,NA,NA,0,0
"567","SOMATIC5","~1","",0,0,NA,NA,0,0
"568","SOMATIC6","~1","",0,0,NA,NA,0,0
"569","SOMATIC7","~1","",0,0,NA,NA,0,0
"570","SOMATIC8","~1","",0,0,NA,NA,0,0
"571","SOMATIC9","~1","",0,0,NA,NA,0,0
"572","SOMATIC10","~1","",0,0,NA,NA,0,0
"573","SOMATIC11","~1","",0,0,NA,NA,0,0
"574","SOCIAL1","~1","",0,0,NA,NA,0,0
"575","SOCIAL2","~1","",0,0,NA,NA,0,0
"576","SOCIAL3","~1","",0,0,NA,NA,0,0
"577","SOCIAL4","~1","",0,0,NA,NA,0,0
"578","SOCIAL5","~1","",0,0,NA,NA,0,0
"579","SOCIAL6","~1","",0,0,NA,NA,0,0
"580","SOCIAL7","~1","",0,0,NA,NA,0,0
"581","SOCIAL8","~1","",0,0,NA,NA,0,0
"582","SOCIAL9","~1","",0,0,NA,NA,0,0
"583","SOCIAL10","~1","",0,0,NA,NA,0,0
"584","SOCIAL11","~1","",0,0,NA,NA,0,0
"585","THOUGHT1","~1","",0,0,NA,NA,0,0
"586","THOUGHT2","~1","",0,0,NA,NA,0,0
"587","THOUGHT3","~1","",0,0,NA,NA,0,0
"588","THOUGHT4","~1","",0,0,NA,NA,0,0
"589","THOUGHT5","~1","",0,0,NA,NA,0,0
"590","THOUGHT6","~1","",0,0,NA,NA,0,0
"591","THOUGHT7","~1","",0,0,NA,NA,0,0
"592","THOUGHT8","~1","",0,0,NA,NA,0,0
"593","THOUGHT9","~1","",0,0,NA,NA,0,0
"594","THOUGHT10","~1","",0,0,NA,NA,0,0
"595","THOUGHT11","~1","",0,0,NA,NA,0,0
"596","THOUGHT12","~1","",0,0,NA,NA,0,0
"597","THOUGHT13","~1","",0,0,NA,NA,0,0
"598","THOUGHT14","~1","",0,0,NA,NA,0,0
"599","THOUGHT15","~1","",0,0,NA,NA,0,0
"600","ATTENT1","~1","",0,0,NA,NA,0,0
"601","ATTENT2","~1","",0,0,NA,NA,0,0
"602","ATTENT3","~1","",0,0,NA,NA,0,0
"603","ATTENT4","~1","",0,0,NA,NA,0,0
"604","ATTENT5","~1","",0,0,NA,NA,0,0
"605","ATTENT6","~1","",0,0,NA,NA,0,0
"606","ATTENT7","~1","",0,0,NA,NA,0,0
"607","ATTENT8","~1","",0,0,NA,NA,0,0
"608","ATTENT9","~1","",0,0,NA,NA,0,0
"609","ATTENT10","~1","",0,0,NA,NA,0,0
"610","ATTENT11","~1","",0,0,NA,NA,0,0
"611","RULE_BR1","~1","",0,0,NA,NA,0,0
"612","RULE_BR2","~1","",0,0,NA,NA,0,0
"613","RULE_BR3","~1","",0,0,NA,NA,0,0
"614","RULE_BR4","~1","",0,0,NA,NA,0,0
"615","RULE_BR5","~1","",0,0,NA,NA,0,0
"616","RULE_BR6","~1","",0,0,NA,NA,0,0
"617","RULE_BR7","~1","",0,0,NA,NA,0,0
"618","RULE_BR8","~1","",0,0,NA,NA,0,0
"619","RULE_BR9","~1","",0,0,NA,NA,0,0
"620","RULE_BR10","~1","",0,0,NA,NA,0,0
"621","RULE_BR11","~1","",0,0,NA,NA,0,0
"622","RULE_BR12","~1","",0,0,NA,NA,0,0
"623","RULE_BR13","~1","",0,0,NA,NA,0,0
"624","RULE_BR14","~1","",0,0,NA,NA,0,0
"625","RULE_BR15","~1","",0,0,NA,NA,0,0
"626","RULE_BR16","~1","",0,0,NA,NA,0,0
"627","RULE_BR17","~1","",0,0,NA,NA,0,0
"628","RULE_BR18","~1","",0,0,NA,NA,0,0
"629","AGGRESS1","~1","",0,0,NA,NA,0,0
"630","AGGRESS2","~1","",0,0,NA,NA,0,0
"631","AGGRESS3","~1","",0,0,NA,NA,0,0
"632","AGGRESS4","~1","",0,0,NA,NA,0,0
"633","AGGRESS5","~1","",0,0,NA,NA,0,0
"634","AGGRESS6","~1","",0,0,NA,NA,0,0
"635","AGGRESS7","~1","",0,0,NA,NA,0,0
"636","AGGRESS8","~1","",0,0,NA,NA,0,0
"637","AGGRESS9","~1","",0,0,NA,NA,0,0
"638","AGGRESS10","~1","",0,0,NA,NA,0,0
"639","AGGRESS11","~1","",0,0,NA,NA,0,0
"640","AGGRESS12","~1","",0,0,NA,NA,0,0
"641","AGGRESS13","~1","",0,0,NA,NA,0,0
"642","AGGRESS14","~1","",0,0,NA,NA,0,0
"643","AGGRESS15","~1","",0,0,NA,NA,0,0
"644","AGGRESS16","~1","",0,0,NA,NA,0,0
"645","AGGRESS17","~1","",0,0,NA,NA,0,0
"646","AGGRESS18","~1","",0,0,NA,NA,0,0
"647","ANXDEP","~1","",0,0,NA,NA,0,0
"648","WITHDEP","~1","",0,0,NA,NA,0,0
"649","SOMATIC","~1","",0,0,NA,NA,0,0
"650","SOCIAL","~1","",0,0,NA,NA,0,0
"651","THOUGHT","~1","",0,0,NA,NA,0,0
"652","ATTENTION","~1","",0,0,NA,NA,0,0
"653","RULE_BR","~1","",0,0,NA,NA,0,0
"654","AGGRESS","~1","",0,0,NA,NA,0,0
"655","P","~1","",0,0,NA,NA,0,0
